id,word,audio_url,freq_score,RAtype
60,when,/audio/word/WORD0060.mp3,26,ra
61,so,/audio/word/WORD0061.mp3,26,ra
62,been,/audio/word/WORD0062.mp3,25,ra
63,time,/audio/word/WORD0063.mp3,25,ra
64,two,/audio/word/WORD0064.mp3,25,ra
65,students,/audio/word/WORD0065.mp3,25,ra
66,often,/audio/word/WORD0066.mp3,24,ra
67,years,/audio/word/WORD0067.mp3,24,ra
68,used,/audio/word/WORD0068.mp3,24,ra
69,its,/audio/word/WORD0069.mp3,23,ra
70,may,/audio/word/WORD0070.mp3,23,ra
71,research,/audio/word/WORD0071.mp3,23,ra
72,while,/audio/word/WORD0072.mp3,22,ra
73,us,/audio/word/WORD0073.mp3,22,ra
74,if,/audio/word/WORD0074.mp3,22,ra
75,out,/audio/word/WORD0075.mp3,22,ra
76,language,/audio/word/WORD0076.mp3,21,ra
77,life,/audio/word/WORD0077.mp3,21,ra
78,up,/audio/word/WORD0078.mp3,20,ra
79,because,/audio/word/WORD0079.mp3,20,ra
80,he,/audio/word/WORD0080.mp3,20,ra
81,must,/audio/word/WORD0081.mp3,20,ra
82,over,/audio/word/WORD0082.mp3,19,ra
83,do,/audio/word/WORD0083.mp3,19,ra
84,important,/audio/word/WORD0084.mp3,19,ra
85,study,/audio/word/WORD0085.mp3,18,ra
86,power,/audio/word/WORD0086.mp3,18,ra
87,however,/audio/word/WORD0087.mp3,18,ra
88,any,/audio/word/WORD0088.mp3,18,ra
89,social,/audio/word/WORD0089.mp3,18,ra
90,areas,/audio/word/WORD0090.mp3,18,ra
91,where,/audio/word/WORD0091.mp3,18,ra
92,each,/audio/word/WORD0092.mp3,17,ra
93,year,/audio/word/WORD0093.mp3,17,ra
94,no,/audio/word/WORD0094.mp3,17,ra
95,had,/audio/word/WORD0095.mp3,17,ra
96,now,/audio/word/WORD0096.mp3,17,ra
97,university,/audio/word/WORD0097.mp3,17,ra
98,just,/audio/word/WORD0098.mp3,17,ra
99,only,/audio/word/WORD0099.mp3,17,ra
100,human,/audio/word/WORD0100.mp3,16,ra
101,five,/audio/word/WORD0101.mp3,16,ra
102,made,/audio/word/WORD0102.mp3,16,ra
103,first,/audio/word/WORD0103.mp3,16,ra
104,make,/audio/word/WORD0104.mp3,16,ra
105,experience,/audio/word/WORD0105.mp3,16,ra
106,different,/audio/word/WORD0106.mp3,16,ra
107,should,/audio/word/WORD0107.mp3,16,ra
108,take,/audio/word/WORD0108.mp3,15,ra
109,through,/audio/word/WORD0109.mp3,15,ra
110,way,/audio/word/WORD0110.mp3,15,ra
111,information,/audio/word/WORD0111.mp3,15,ra
112,those,/audio/word/WORD0112.mp3,15,ra
113,much,/audio/word/WORD0113.mp3,15,ra
114,then,/audio/word/WORD0114.mp3,14,ra
115,three,/audio/word/WORD0115.mp3,14,ra
116,business,/audio/word/WORD0116.mp3,14,ra
117,being,/audio/word/WORD0117.mp3,14,ra
118,find,/audio/word/WORD0118.mp3,14,ra
119,countries,/audio/word/WORD0119.mp3,13,ra
120,both,/audio/word/WORD0120.mp3,13,ra
121,use,/audio/word/WORD0121.mp3,13,ra
122,change,/audio/word/WORD0122.mp3,13,ra
123,energy,/audio/word/WORD0123.mp3,13,ra
124,like,/audio/word/WORD0124.mp3,13,ra
125,public,/audio/word/WORD0125.mp3,13,ra
126,around,/audio/word/WORD0126.mp3,13,ra
127,course,/audio/word/WORD0127.mp3,13,ra
128,school,/audio/word/WORD0128.mp3,13,ra
129,during,/audio/word/WORD0129.mp3,12,ra
130,before,/audio/word/WORD0130.mp3,12,ra
131,living,/audio/word/WORD0131.mp3,12,ra
132,english,/audio/word/WORD0132.mp3,12,ra
133,political,/audio/word/WORD0133.mp3,12,ra
134,water,/audio/word/WORD0134.mp3,12,ra
135,keep,/audio/word/WORD0135.mp3,12,ra
136,would,/audio/word/WORD0136.mp3,12,ra
137,natural,/audio/word/WORD0137.mp3,12,ra
138,food,/audio/word/WORD0138.mp3,11,ra
139,between,/audio/word/WORD0139.mp3,11,ra
140,education,/audio/word/WORD0140.mp3,11,ra
141,own,/audio/word/WORD0141.mp3,11,ra
142,body,/audio/word/WORD0142.mp3,11,ra
143,along,/audio/word/WORD0143.mp3,11,ra
144,too,/audio/word/WORD0144.mp3,11,ra
145,yet,/audio/word/WORD0145.mp3,11,ra
146,environment,/audio/word/WORD0146.mp3,11,ra
147,help,/audio/word/WORD0147.mp3,11,ra
148,same,/audio/word/WORD0148.mp3,11,ra
149,well,/audio/word/WORD0149.mp3,11,ra
150,industry,/audio/word/WORD0150.mp3,10,ra
151,financial,/audio/word/WORD0151.mp3,10,ra
152,part,/audio/word/WORD0152.mp3,10,ra
153,think,/audio/word/WORD0153.mp3,10,ra
154,second,/audio/word/WORD0154.mp3,10,ra
155,get,/audio/word/WORD0155.mp3,10,ra
156,very,/audio/word/WORD0156.mp3,10,ra
157,united,/audio/word/WORD0157.mp3,10,ra
158,long,/audio/word/WORD0158.mp3,10,ra
159,early,/audio/word/WORD0159.mp3,10,ra
160,species,/audio/word/WORD0160.mp3,10,ra
161,less,/audio/word/WORD0161.mp3,10,ra
162,physical,/audio/word/WORD0162.mp3,10,ra
163,society,/audio/word/WORD0163.mp3,10,ra
164,right,/audio/word/WORD0164.mp3,10,ra
165,marketing,/audio/word/WORD0165.mp3,10,ra
166,researchers,/audio/word/WORD0166.mp3,9,ra
167,control,/audio/word/WORD0167.mp3,9,ra
168,electric,/audio/word/WORD0168.mp3,9,ra
169,s,/audio/word/WORD0169.mp3,9,ra
170,did,/audio/word/WORD0170.mp3,9,ra
171,development,/audio/word/WORD0171.mp3,9,ra
172,likely,/audio/word/WORD0172.mp3,9,ra
173,found,/audio/word/WORD0173.mp3,9,ra
174,difficult,/audio/word/WORD0174.mp3,9,ra
175,support,/audio/word/WORD0175.mp3,9,ra
176,include,/audio/word/WORD0176.mp3,9,ra
177,even,/audio/word/WORD0177.mp3,9,ra
178,point,/audio/word/WORD0178.mp3,9,ra
179,major,/audio/word/WORD0179.mp3,9,ra
180,lot,/audio/word/WORD0180.mp3,9,ra
181,last,/audio/word/WORD0181.mp3,9,ra
182,others,/audio/word/WORD0182.mp3,9,ra
183,need,/audio/word/WORD0183.mp3,9,ra
184,problems,/audio/word/WORD0184.mp3,9,ra
185,states,/audio/word/WORD0185.mp3,9,ra
186,groups,/audio/word/WORD0186.mp3,9,ra
187,studies,/audio/word/WORD0187.mp3,9,ra
188,data,/audio/word/WORD0188.mp3,9,ra
189,government,/audio/word/WORD0189.mp3,9,ra
190,plants,/audio/word/WORD0190.mp3,9,ra
191,usually,/audio/word/WORD0191.mp3,9,ra
192,culture,/audio/word/WORD0192.mp3,9,ra
193,economic,/audio/word/WORD0193.mp3,9,ra
194,issues,/audio/word/WORD0194.mp3,9,ra
195,said,/audio/word/WORD0195.mp3,9,ra
196,structure,/audio/word/WORD0196.mp3,9,ra
197,since,/audio/word/WORD0197.mp3,9,ra
198,cars,/audio/word/WORD0198.mp3,8,ra
199,thousand,/audio/word/WORD0199.mp3,8,ra
200,great,/audio/word/WORD0200.mp3,8,ra
201,after,/audio/word/WORD0201.mp3,8,ra
202,back,/audio/word/WORD0202.mp3,8,ra
203,plant,/audio/word/WORD0203.mp3,8,ra
204,across,/audio/word/WORD0204.mp3,8,ra
205,international,/audio/word/WORD0205.mp3,8,ra
206,system,/audio/word/WORD0206.mp3,8,ra
207,without,/audio/word/WORD0207.mp3,8,ra
208,animals,/audio/word/WORD0208.mp3,8,ra
209,words,/audio/word/WORD0209.mp3,8,ra
210,making,/audio/word/WORD0210.mp3,8,ra
211,could,/audio/word/WORD0211.mp3,8,ra
212,global,/audio/word/WORD0212.mp3,8,ra
213,changes,/audio/word/WORD0213.mp3,8,ra
214,result,/audio/word/WORD0214.mp3,8,ra
215,sea,/audio/word/WORD0215.mp3,8,ra
216,climate,/audio/word/WORD0216.mp3,8,ra
217,design,/audio/word/WORD0217.mp3,8,ra
218,building,/audio/word/WORD0218.mp3,8,ra
219,known,/audio/word/WORD0219.mp3,8,ra
220,past,/audio/word/WORD0220.mp3,8,ra
221,means,/audio/word/WORD0221.mp3,8,ra
222,knowledge,/audio/word/WORD0222.mp3,8,ra
223,example,/audio/word/WORD0223.mp3,8,ra
224,particular,/audio/word/WORD0224.mp3,8,ra
225,using,/audio/word/WORD0225.mp3,8,ra
226,population,/audio/word/WORD0226.mp3,8,ra
227,side,/audio/word/WORD0227.mp3,8,ra
228,world's,/audio/word/WORD0228.mp3,8,ra
229,still,/audio/word/WORD0229.mp3,8,ra
230,show,/audio/word/WORD0230.mp3,8,ra
231,does,/audio/word/WORD0231.mp3,8,ra
232,services,/audio/word/WORD0232.mp3,8,ra
233,another,/audio/word/WORD0233.mp3,8,ra
234,brain,/audio/word/WORD0234.mp3,8,ra
235,left,/audio/word/WORD0235.mp3,8,ra
236,decisions,/audio/word/WORD0236.mp3,8,ra
237,four,/audio/word/WORD0237.mp3,8,ra
238,why,/audio/word/WORD0238.mp3,8,ra
239,terms,/audio/word/WORD0239.mp3,8,ra
240,specific,/audio/word/WORD0240.mp3,8,ra
241,current,/audio/word/WORD0241.mp3,7,ra
242,systems,/audio/word/WORD0242.mp3,7,ra
243,almost,/audio/word/WORD0243.mp3,7,ra
244,became,/audio/word/WORD0244.mp3,7,ra
245,problem,/audio/word/WORD0245.mp3,7,ra
246,war,/audio/word/WORD0246.mp3,7,ra
247,paper,/audio/word/WORD0247.mp3,7,ra
248,europe,/audio/word/WORD0248.mp3,7,ra
249,solar,/audio/word/WORD0249.mp3,7,ra
250,planet,/audio/word/WORD0250.mp3,7,ra
251,age,/audio/word/WORD0251.mp3,7,ra
252,become,/audio/word/WORD0252.mp3,7,ra
253,rather,/audio/word/WORD0253.mp3,7,ra
254,person,/audio/word/WORD0254.mp3,7,ra
255,her,/audio/word/WORD0255.mp3,7,ra
256,century,/audio/word/WORD0256.mp3,7,ra
257,environmental,/audio/word/WORD0257.mp3,7,ra
258,form,/audio/word/WORD0258.mp3,7,ra
259,art,/audio/word/WORD0259.mp3,7,ra
260,certain,/audio/word/WORD0260.mp3,7,ra
261,resources,/audio/word/WORD0261.mp3,7,ra
262,large,/audio/word/WORD0262.mp3,7,ra
263,trade,/audio/word/WORD0263.mp3,7,ra
264,come,/audio/word/WORD0264.mp3,7,ra
265,cultural,/audio/word/WORD0265.mp3,7,ra
266,history,/audio/word/WORD0266.mp3,7,ra
267,order,/audio/word/WORD0267.mp3,7,ra
268,health,/audio/word/WORD0268.mp3,7,ra
269,start,/audio/word/WORD0269.mp3,7,ra
270,field,/audio/word/WORD0270.mp3,7,ra
271,material,/audio/word/WORD0271.mp3,7,ra
272,student,/audio/word/WORD0272.mp3,7,ra
273,graduate,/audio/word/WORD0273.mp3,7,ra
274,activity,/audio/word/WORD0274.mp3,7,ra
275,little,/audio/word/WORD0275.mp3,7,ra
276,process,/audio/word/WORD0276.mp3,7,ra
277,workers,/audio/word/WORD0277.mp3,7,ra
278,possible,/audio/word/WORD0278.mp3,7,ra
279,future,/audio/word/WORD0279.mp3,7,ra
280,developing,/audio/word/WORD0280.mp3,7,ra
281,days,/audio/word/WORD0281.mp3,7,ra
282,hemisphere,/audio/word/WORD0282.mp3,7,ra
283,schools,/audio/word/WORD0283.mp3,7,ra
284,ever,/audio/word/WORD0284.mp3,7,ra
285,whole,/audio/word/WORD0285.mp3,7,ra
286,unique,/audio/word/WORD0286.mp3,7,ra
287,together,/audio/word/WORD0287.mp3,7,ra
288,blue,/audio/word/WORD0288.mp3,6,ra
289,least,/audio/word/WORD0289.mp3,6,ra
290,say,/audio/word/WORD0290.mp3,6,ra
291,objects,/audio/word/WORD0291.mp3,6,ra
292,million,/audio/word/WORD0292.mp3,6,ra
293,him,/audio/word/WORD0293.mp3,6,ra
294,understand,/audio/word/WORD0294.mp3,6,ra
295,every,/audio/word/WORD0295.mp3,6,ra
296,read,/audio/word/WORD0296.mp3,6,ra
297,although,/audio/word/WORD0297.mp3,6,ra
298,man,/audio/word/WORD0298.mp3,6,ra
299,small,/audio/word/WORD0299.mp3,6,ra
300,family,/audio/word/WORD0300.mp3,6,ra
301,huge,/audio/word/WORD0301.mp3,6,ra
302,particularly,/audio/word/WORD0302.mp3,6,ra
303,situation,/audio/word/WORD0303.mp3,6,ra
304,forms,/audio/word/WORD0304.mp3,6,ra
305,things,/audio/word/WORD0305.mp3,6,ra
306,nature,/audio/word/WORD0306.mp3,6,ra
307,revolution,/audio/word/WORD0307.mp3,6,ra
308,key,/audio/word/WORD0308.mp3,6,ra
309,space,/audio/word/WORD0309.mp3,6,ra
310,child,/audio/word/WORD0310.mp3,6,ra
311,ways,/audio/word/WORD0311.mp3,6,ra
312,see,/audio/word/WORD0312.mp3,6,ra
313,useful,/audio/word/WORD0313.mp3,6,ra
314,provide,/audio/word/WORD0314.mp3,6,ra
315,demand,/audio/word/WORD0315.mp3,6,ra
316,materials,/audio/word/WORD0316.mp3,6,ra
317,it's,/audio/word/WORD0317.mp3,6,ra
318,needs,/audio/word/WORD0318.mp3,6,ra
319,high,/audio/word/WORD0319.mp3,6,ra
320,job,/audio/word/WORD0320.mp3,6,ra
321,including,/audio/word/WORD0321.mp3,6,ra
322,records,/audio/word/WORD0322.mp3,6,ra
323,aid,/audio/word/WORD0323.mp3,6,ra
324,literature,/audio/word/WORD0324.mp3,6,ra
325,benefit,/audio/word/WORD0325.mp3,6,ra
326,medical,/audio/word/WORD0326.mp3,6,ra
327,place,/audio/word/WORD0327.mp3,6,ra
328,growing,/audio/word/WORD0328.mp3,6,ra
329,set,/audio/word/WORD0329.mp3,6,ra
330,down,/audio/word/WORD0330.mp3,6,ra
331,market,/audio/word/WORD0331.mp3,6,ra
332,area,/audio/word/WORD0332.mp3,6,ra
333,men,/audio/word/WORD0333.mp3,6,ra
334,poor,/audio/word/WORD0334.mp3,6,ra
335,complex,/audio/word/WORD0335.mp3,6,ra
336,among,/audio/word/WORD0336.mp3,6,ra
337,percent,/audio/word/WORD0337.mp3,6,ra
338,put,/audio/word/WORD0338.mp3,6,ra
339,enough,/audio/word/WORD0339.mp3,6,ra
340,industrial,/audio/word/WORD0340.mp3,6,ra
341,technology,/audio/word/WORD0341.mp3,6,ra
342,rate,/audio/word/WORD0342.mp3,6,ra
343,policy,/audio/word/WORD0343.mp3,6,ra
344,live,/audio/word/WORD0344.mp3,6,ra
345,mobile,/audio/word/WORD0345.mp3,6,ra
346,location,/audio/word/WORD0346.mp3,6,ra
347,car,/audio/word/WORD0347.mp3,6,ra
348,companies,/audio/word/WORD0348.mp3,6,ra
349,taken,/audio/word/WORD0349.mp3,6,ra
350,working,/audio/word/WORD0350.mp3,6,ra
351,smoking,/audio/word/WORD0351.mp3,6,ra
352,cannot,/audio/word/WORD0352.mp3,6,ra
353,able,/audio/word/WORD0353.mp3,6,ra
354,improve,/audio/word/WORD0354.mp3,6,ra
355,light,/audio/word/WORD0355.mp3,6,ra
356,know,/audio/word/WORD0356.mp3,6,ra
357,statistics,/audio/word/WORD0357.mp3,6,ra
358,within,/audio/word/WORD0358.mp3,6,ra
359,becoming,/audio/word/WORD0359.mp3,6,ra
360,scientific,/audio/word/WORD0360.mp3,6,ra
361,higher,/audio/word/WORD0361.mp3,6,ra
362,developed,/audio/word/WORD0362.mp3,6,ra
363,book,/audio/word/WORD0363.mp3,6,ra
364,businesses,/audio/word/WORD0364.mp3,6,ra
365,built,/audio/word/WORD0365.mp3,6,ra
366,individual,/audio/word/WORD0366.mp3,6,ra
367,products,/audio/word/WORD0367.mp3,6,ra
368,humans,/audio/word/WORD0368.mp3,5,ra
369,carbon,/audio/word/WORD0369.mp3,5,ra
370,australia,/audio/word/WORD0370.mp3,5,ra
371,modern,/audio/word/WORD0371.mp3,5,ra
372,money,/audio/word/WORD0372.mp3,5,ra
373,asked,/audio/word/WORD0373.mp3,5,ra
374,don't,/audio/word/WORD0374.mp3,5,ra
375,american,/audio/word/WORD0375.mp3,5,ra
376,thirty,/audio/word/WORD0376.mp3,5,ra
377,home,/audio/word/WORD0377.mp3,5,ra
378,general,/audio/word/WORD0378.mp3,5,ra
379,beginning,/audio/word/WORD0379.mp3,5,ra
380,state,/audio/word/WORD0380.mp3,5,ra
381,account,/audio/word/WORD0381.mp3,5,ra
382,color,/audio/word/WORD0382.mp3,5,ra
383,evolution,/audio/word/WORD0383.mp3,5,ra
384,took,/audio/word/WORD0384.mp3,5,ra
385,places,/audio/word/WORD0385.mp3,5,ra
386,old,/audio/word/WORD0386.mp3,5,ra
387,either,/audio/word/WORD0387.mp3,5,ra
388,writing,/audio/word/WORD0388.mp3,5,ra
389,atmosphere,/audio/word/WORD0389.mp3,5,ra
390,scientists,/audio/word/WORD0390.mp3,5,ra
391,speaker,/audio/word/WORD0391.mp3,5,ra
392,spent,/audio/word/WORD0392.mp3,5,ra
393,doing,/audio/word/WORD0393.mp3,5,ra
394,country,/audio/word/WORD0394.mp3,5,ra
395,according,/audio/word/WORD0395.mp3,5,ra
396,company,/audio/word/WORD0396.mp3,5,ra
397,themselves,/audio/word/WORD0397.mp3,5,ra
398,room,/audio/word/WORD0398.mp3,5,ra
399,limited,/audio/word/WORD0399.mp3,5,ra
400,build,/audio/word/WORD0400.mp3,5,ra
401,goods,/audio/word/WORD0401.mp3,5,ra
402,parts,/audio/word/WORD0402.mp3,5,ra
403,want,/audio/word/WORD0403.mp3,5,ra
404,feel,/audio/word/WORD0404.mp3,5,ra
405,questions,/audio/word/WORD0405.mp3,5,ra
406,might,/audio/word/WORD0406.mp3,5,ra
407,believe,/audio/word/WORD0407.mp3,5,ra
408,understanding,/audio/word/WORD0408.mp3,5,ra
409,skills,/audio/word/WORD0409.mp3,5,ra
410,employers,/audio/word/WORD0410.mp3,5,ra
411,value,/audio/word/WORD0411.mp3,5,ra
412,go,/audio/word/WORD0412.mp3,5,ra
413,following,/audio/word/WORD0413.mp3,5,ra
414,activities,/audio/word/WORD0414.mp3,5,ra
415,recent,/audio/word/WORD0415.mp3,5,ra
416,argument,/audio/word/WORD0416.mp3,5,ra
417,experienced,/audio/word/WORD0417.mp3,5,ra
418,she,/audio/word/WORD0418.mp3,5,ra
419,despite,/audio/word/WORD0419.mp3,5,ra
420,extent,/audio/word/WORD0420.mp3,5,ra
421,staff,/audio/word/WORD0421.mp3,5,ra
422,local,/audio/word/WORD0422.mp3,5,ra
423,single,/audio/word/WORD0423.mp3,5,ra
424,related,/audio/word/WORD0424.mp3,5,ra
425,makes,/audio/word/WORD0425.mp3,5,ra
426,gain,/audio/word/WORD0426.mp3,5,ra
427,relatively,/audio/word/WORD0427.mp3,5,ra
428,fifty,/audio/word/WORD0428.mp3,5,ra
429,women,/audio/word/WORD0429.mp3,5,ra
430,led,/audio/word/WORD0430.mp3,5,ra
431,common,/audio/word/WORD0431.mp3,5,ra
432,called,/audio/word/WORD0432.mp3,5,ra
433,free,/audio/word/WORD0433.mp3,5,ra
434,soon,/audio/word/WORD0434.mp3,5,ra
435,approach,/audio/word/WORD0435.mp3,5,ra
436,conditions,/audio/word/WORD0436.mp3,5,ra
437,jobs,/audio/word/WORD0437.mp3,5,ra
438,giving,/audio/word/WORD0438.mp3,5,ra
439,level,/audio/word/WORD0439.mp3,5,ra
440,amount,/audio/word/WORD0440.mp3,5,ra
441,going,/audio/word/WORD0441.mp3,5,ra
442,instead,/audio/word/WORD0442.mp3,5,ra
443,given,/audio/word/WORD0443.mp3,5,ra
444,dependent,/audio/word/WORD0444.mp3,5,ra
445,earth,/audio/word/WORD0445.mp3,5,ra
446,results,/audio/word/WORD0446.mp3,5,ra
447,play,/audio/word/WORD0447.mp3,5,ra
448,longer,/audio/word/WORD0448.mp3,5,ra
449,microbes,/audio/word/WORD0449.mp3,5,ra
450,mining,/audio/word/WORD0450.mp3,5,ra
451,shape,/audio/word/WORD0451.mp3,5,ra
452,normal,/audio/word/WORD0452.mp3,5,ra
453,today,/audio/word/WORD0453.mp3,5,ra
454,growth,/audio/word/WORD0454.mp3,5,ra
455,green,/audio/word/WORD0455.mp3,5,ra
456,diversity,/audio/word/WORD0456.mp3,5,ra
457,production,/audio/word/WORD0457.mp3,5,ra
458,strong,/audio/word/WORD0458.mp3,5,ra
459,mba,/audio/word/WORD0459.mp3,5,ra
460,variety,/audio/word/WORD0460.mp3,5,ra
461,electronic,/audio/word/WORD0461.mp3,5,ra
462,day,/audio/word/WORD0462.mp3,5,ra
463,ponds,/audio/word/WORD0463.mp3,5,ra
464,challenging,/audio/word/WORD0464.mp3,5,ra
465,children,/audio/word/WORD0465.mp3,5,ra
466,antarctica,/audio/word/WORD0466.mp3,5,ra
467,processes,/audio/word/WORD0467.mp3,5,ra
468,informative,/audio/word/WORD0468.mp3,5,ra
469,sleep,/audio/word/WORD0469.mp3,5,ra
470,subjects,/audio/word/WORD0470.mp3,4,ra
471,events,/audio/word/WORD0471.mp3,4,ra
472,alone,/audio/word/WORD0472.mp3,4,ra
473,recently,/audio/word/WORD0473.mp3,4,ra
474,dollars,/audio/word/WORD0474.mp3,4,ra
475,motor,/audio/word/WORD0475.mp3,4,ra
476,u,/audio/word/WORD0476.mp3,4,ra
477,hours,/audio/word/WORD0477.mp3,4,ra
478,various,/audio/word/WORD0478.mp3,4,ra
479,status,/audio/word/WORD0479.mp3,4,ra
480,whether,/audio/word/WORD0480.mp3,4,ra
481,audience,/audio/word/WORD0481.mp3,4,ra
482,funds,/audio/word/WORD0482.mp3,4,ra
483,allocated,/audio/word/WORD0483.mp3,4,ra
484,object,/audio/word/WORD0484.mp3,4,ra
485,available,/audio/word/WORD0485.mp3,4,ra
486,radical,/audio/word/WORD0486.mp3,4,ra
487,caused,/audio/word/WORD0487.mp3,4,ra
488,measure,/audio/word/WORD0488.mp3,4,ra
489,young,/audio/word/WORD0489.mp3,4,ra
490,independent,/audio/word/WORD0490.mp3,4,ra
491,provided,/audio/word/WORD0491.mp3,4,ra
492,arms,/audio/word/WORD0492.mp3,4,ra
493,reasons,/audio/word/WORD0493.mp3,4,ra
494,imagine,/audio/word/WORD0494.mp3,4,ra
495,picture,/audio/word/WORD0495.mp3,4,ra
496,number,/audio/word/WORD0496.mp3,4,ra
497,few,/audio/word/WORD0497.mp3,4,ra
498,produce,/audio/word/WORD0498.mp3,4,ra
499,billion,/audio/word/WORD0499.mp3,4,ra
500,miles,/audio/word/WORD0500.mp3,4,ra
501,struggle,/audio/word/WORD0501.mp3,4,ra
502,gone,/audio/word/WORD0502.mp3,4,ra
503,sources,/audio/word/WORD0503.mp3,4,ra
504,average,/audio/word/WORD0504.mp3,4,ra
505,began,/audio/word/WORD0505.mp3,4,ra
506,th,/audio/word/WORD0506.mp3,4,ra
507,increased,/audio/word/WORD0507.mp3,4,ra
508,interested,/audio/word/WORD0508.mp3,4,ra
509,discovered,/audio/word/WORD0509.mp3,4,ra
510,hunted,/audio/word/WORD0510.mp3,4,ra
511,look,/audio/word/WORD0511.mp3,4,ra
512,furniture,/audio/word/WORD0512.mp3,4,ra
513,achieve,/audio/word/WORD0513.mp3,4,ra
514,requirements,/audio/word/WORD0514.mp3,4,ra
515,environments,/audio/word/WORD0515.mp3,4,ra
516,boats,/audio/word/WORD0516.mp3,4,ra
517,times,/audio/word/WORD0517.mp3,4,ra
518,therefore,/audio/word/WORD0518.mp3,4,ra
519,devices,/audio/word/WORD0519.mp3,4,ra
520,provides,/audio/word/WORD0520.mp3,4,ra
521,politics,/audio/word/WORD0521.mp3,4,ra
522,pollution,/audio/word/WORD0522.mp3,4,ra
523,comes,/audio/word/WORD0523.mp3,4,ra
524,impact,/audio/word/WORD0524.mp3,4,ra
525,application,/audio/word/WORD0525.mp3,4,ra
526,works,/audio/word/WORD0526.mp3,4,ra
527,tv,/audio/word/WORD0527.mp3,4,ra
528,never,/audio/word/WORD0528.mp3,4,ra
529,turning,/audio/word/WORD0529.mp3,4,ra
530,books,/audio/word/WORD0530.mp3,4,ra
531,month,/audio/word/WORD0531.mp3,4,ra
532,urban,/audio/word/WORD0532.mp3,4,ra
533,white,/audio/word/WORD0533.mp3,4,ra
534,behind,/audio/word/WORD0534.mp3,4,ra
535,again,/audio/word/WORD0535.mp3,4,ra
536,end,/audio/word/WORD0536.mp3,4,ra
537,positive,/audio/word/WORD0537.mp3,4,ra
538,processing,/audio/word/WORD0538.mp3,4,ra
539,examination,/audio/word/WORD0539.mp3,4,ra
540,cases,/audio/word/WORD0540.mp3,4,ra
541,choices,/audio/word/WORD0541.mp3,4,ra
542,sustainable,/audio/word/WORD0542.mp3,4,ra
543,needed,/audio/word/WORD0543.mp3,4,ra
544,whales,/audio/word/WORD0544.mp3,4,ra
545,debt,/audio/word/WORD0545.mp3,4,ra
546,waters,/audio/word/WORD0546.mp3,4,ra
